Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2016-10-13,127.03685760498047,127.46422333545407,125.97341370579963,127.42447508472851,17139300
2016-10-14,127.09648895263672,128.15993286343894,126.79833157303749,127.7027597312501,13345300
2016-10-17,126.7585678100586,127.682870036033,126.53991452910665,127.4145200702649,11351700
2016-10-18,127.78225708007812,128.59722504258383,127.22567546910804,127.89156854984387,13504000
2016-10-19,129.3128204345703,129.67061533169078,127.81207762000047,127.95121923747516,16752300
2016-10-20,129.2034912109375,129.859451036757,128.70655470628006,129.27306960093287,13167500
2016-10-21,131.26083374023438,131.32046370257746,128.90534407057763,128.9848557421353,19088800
2016-10-24,132.46339416503906,132.5926025098252,131.34031280571014,131.90682770334288,17470200
2016-10-25,131.47946166992188,132.68205475655202,131.409898441024,132.68205475655202,13336800
2016-10-26,130.23712158203125,131.44964795147325,130.13774337332433,130.83345149547145,13084700
2016-10-27,128.8954315185547,130.99250480142825,128.47800654975134,130.93287482949964,16741400
2016-10-28,130.48558044433594,132.15529498240997,129.13391254791355,129.70042744136862,24545500
2016-10-31,130.1874237060547,131.31048983169023,130.07809707450104,131.20116320013656,15669000
2016-11-01,128.70657348632812,131.13162640935263,127.8617752390234,130.60487485077937,22077800
2016-11-02,126.39083099365234,129.4320800291002,125.50628460644498,129.4320800291002,39640900
2016-11-03,119.2647705078125,122.52467302180206,118.76783396402995,121.25251668294271,63766300
2016-11-04,120.01016998291016,121.18294047735348,118.51936041790506,118.85727361296776,30545500
2016-11-07,121.40159606933594,122.45509908886409,120.60649458648281,122.07743005496619,23008900
2016-11-08,123.45890808105469,123.84651795325817,120.79532807717081,121.28232373510478,19460800
2016-11-09,122.42529296875,123.05143031351474,119.7716535203872,120.75558580006044,31916000
2016-11-10,120.05987548828125,123.41916389179416,114.56375078543319,123.17069561270637,67846700
2016-11-11,118.29077911376953,119.96048631101125,117.42611432516335,118.79765654399927,32840100
2016-11-14,114.37492370605469,118.4001054063705,112.85429900264758,118.4001054063705,51377000
2016-11-15,116.48191833496094,117.76401547836649,115.12031711043187,116.01480437125547,34681400
2016-11-16,115.62718963623047,117.15775507807976,113.5102427211703,113.7785926970785,32397900
2016-11-17,117.06830596923828,117.06830596923828,115.29921317613237,116.09430705635383,18597800
2016-11-18,116.30303192138672,118.4001048608808,116.12413445224243,117.66464085779886,22879300
2016-11-21,121.02391052246094,121.2028079637696,117.07824112593778,117.47578425538002,35415400
2016-11-22,120.72576141357422,122.22651185237044,120.15925407454712,121.65006365963418,26089200
2016-11-23,120.09962463378906,120.56674621517368,119.20514488853783,120.48724212808814,15672100
2016-11-25,119.6424331665039,120.39777879588564,119.33433495224864,120.26857803115107,8658600
2016-11-28,119.6722640991211,120.94442045908947,119.08587502474973,119.38403998902669,18101300
2016-11-29,120.12944030761719,121.3518999334337,119.66231875302154,119.8312753545328,18891000
2016-11-30,117.69444274902344,121.0437976000157,117.22732121028555,119.58280302826937,30188900
2016-12-01,114.39479064941406,117.72426397003363,113.30153177165613,117.6546931573395,43277000
2016-12-02,114.69294738769531,115.76633206317118,113.59968858829554,114.40472330357775,25070400
2016-12-05,116.71051025390625,116.84965187153925,114.36496929573663,115.23957483266534,20201500
2016-12-06,116.59123992919922,117.0782431617377,115.61724862942081,116.96891652444533,19131200
2016-12-07,117.22732543945312,117.22732543945312,115.85578333417466,116.28314905709219,21913700
2016-12-08,118.18145751953125,118.76783902651727,116.91923439823728,117.25715520539126,22442800
2016-12-09,118.94672393798828,119.20513304763594,118.22119329335617,118.48954325639589,17464700
2016-12-12,117.04842376708984,118.5094183389117,116.92916385601833,118.48954421461627,17805500
2016-12-13,119.5728530883789,120.77543845701594,116.88939913623332,117.13786737560416,29768000
2016-12-14,119.47348022460938,120.94441569706294,118.12181224970061,119.26476779089327,25913100
2016-12-15,119.83128356933594,121.74945902296291,118.8970403960994,119.34428785638616,20139600
